brand,name,type,country,ingredients,afterUse
Native,Body Wash - Sweet Cinnamon Hearts,Bath & Body,United States,"[Water,Cocamidopropyl Betaine,Sodium Lauroyl Sarcosinate,Sodium Chloride,Sodium Cocoyl Isethionate,Parfum,Sodium Salicylate,Sodium Benzoate,Citric Acid]","[Reduces Irritation,Reduces Large Pores,Drying,Acne Trigger,Irritating]"
Kopari,Organic Tropical Coconut Melt,Bath & Body,United States,"[Cocos Nucifera Oil,Parfum]",[Acne Trigger]
Dermelect,Lipo-Conquer Body Toning Cream,Bath & Body,United States,"[Water,Peg-100 Stearate,Glyceryl Stearate,Peg-40 Stearate,Glycerin,Cetyl Alcohol,Cyclomethicone,Dimethicone,Methylsilanol Mannuronate,Polyacrylamide,C13-14 Isoparaffin,Laureth-7,Algae Extract,Caffeine,Polysorbate 80,Retinyl Palmitate,Tocopheryl Acetate,Papain,Propylene Glycol,Ginkgo Biloba Leaf,Phenoxyethanol,Ethylhexylglycerin,Imidazolidinyl Urea]","[Good For Oily Skin,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Scar Healing,Acne Fighting,Brightening,Drying,May Worsen Oily Skin,Irritating,Eczema]"
Hey Humans,Naturally Derived Body Wash - Lavender Vanilla,Bath & Body,United States,"[Water,Cocamidopropyl Hydroxysultaine,Sodium Lauroyl Methyl Isethionate,Polysorbate 20,Parfum,Glycerin,Peg-150 Distearate,Sodium Chloride,Sodium Benzoate,Sodium Methyl Isethionate,Cocamidopropyl Dimethylamine,Lauric Acid,Polyquaternium-10,Citric Acid,Sodium Laurate,Simmondsia Chinensis Seed Oil,Sodium Acetate,Isopropyl Alcohol,Lavandula Hybrida Oil,Pelargonium Graveolens Oil,Orbignya Oleifera Seed Oil,Rosa Damascena Flower Oil]","[Reduces Large Pores,Drying,May Worsen Oily Skin,Acne Trigger,Irritating]"
Drunk Elephant,T.L.C. Glycolic Body Lotion,Bath & Body,United States,"[Water,Glycolic Acid,Coconut Alkanes,Sodium Hydroxide,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Propanediol,Cetearyl Alcohol,Squalane,Cetearyl Olivate,Sorbitan Olivate,Sclerocarya Birrea Seed Oil,Butyrospermum Parkii Butter,Camellia Sinensis Seed Oil,Passiflora Edulis Seed Oil,Niacinamide,Sodium PCA,Lactic Acid,Tartaric Acid,Cocos Nucifera Fruit Juice,Adansonia Digitata Seed Oil,Schinziophyton Rautanenii Kernel Oil,Coco-Caprylate/Caprate,Citrullus Lanatus Seed Oil,Cocos Nucifera Oil,Tapioca Starch,Vitis Vinifera Juice Extract,Prunus Armeniaca Kernel Oil,Simmondsia Chinensis Seed Oil,Ximenia Americana Seed Oil,Sodium Hyaluronate Crosspolymer,Allantoin,Quercetin,Linoleic Acid,Linolenic Acid,Prunus Amygdalus Dulcis Oil,Persea Gratissima Oil,Tocopherol,Citric Acid,Sorbitan Isostearate,Polysorbate 60,Chlorphenesin,Phenoxyethanol,Caprylyl Glycol,Potassium Sorbate,Pentylene Glycol,Sodium Carbonate,Sodium Chloride,Ethylhexylglycerin]","[Hydrating,Good For Oily Skin,Redness Reducing,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Scar Healing,Acne Fighting,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema]"
Saltair,Exotic Pulp Body Wash,Bath & Body,United States,"[Water,Cocamidopropyl Betaine,Sodium C14-16 Olefin Sulfonate,Hydrolyzed Gardenia Florida Extract,Maltodextrin,Passiflora Edulis Seed Oil,Myrciaria Dubia Fruit Extract,Niacinamide,Ascorbyl Glucoside,Mangifera Indica Fruit Extract,Carica Papaya Fruit Extract,Ananas Sativus Fruit Extract,Gardenia Jasminoides Fruit Extract,Candida Bombicola/Glucose/Methyl Rapeseedate Ferment,Sodium PCA,Olea Europaea Fruit Oil,Helianthus Annuus Seed Oil,Glycerin,Aureobasidium Pullulans Ferment Extract,Magnesium PCA,Argania Spinosa Kernel Oil,Zinc PCA,Lithospermum Erythrorhizon Root Extract,Glycyrrhiza Uralensis Root Extract,Angelica Gigas Root Extract,Sodium Hyaluronate,Manganese PCA,Tocopherol,Phenoxyethanol,Peg-150 Distearate,Sodium Cocoyl Isethionate,Sodium Benzoate,Citric Acid,Tetrasodium Glutamate Diacetate,Parfum]","[Hydrating,Good For Oily Skin,Redness Reducing,Skin Texture,Anti-Aging,Dark Spots,Scar Healing,Acne Fighting,Brightening,Irritating]"
BodyXpert,Body Oil Lavender & Vanilla,Bath & Body,Philippines,"[Paraffinum Liquidum,Isopropyl Myristate,Parfum,Polysorbate 20,Triethylhexanoin,Simmondsia Chinensis Seed Oil,BHT,C12-15 Alkyl Benzoate,Tocopheryl Acetate,Eucalyptol,Juniperus Mexicana Wood Oil,Lavandula Angustifolia Oil,Vanilla Planifolia Fruit Extract,Ubiquinone]","[Brightening,May Worsen Oily Skin,Acne Trigger]"
Dr. Bronner's,Pure-Castile Liquid Soap - Almond,Bath & Body,United States,"[Water,Cocos Nucifera Oil,Potassium Hydroxide,Elaeis Guineensis Kernel Oil,Olea Europaea Fruit Oil,Cannabis Sativa Seed Oil,Simmondsia Chinensis Seed Oil,Citric Acid,Tocopherol]","[Reduces Large Pores,Anti-Aging,Scar Healing,Brightening,Drying,Acne Trigger,Irritating]"
Paula's Choice,All Over Hair & Body Shampoo,Bath & Body,United States,"[Water,Sodium Laureth Sulfate,Ammonium Laureth Sulfate,Cocamidopropyl Betaine,Sodium Chloride,Panthenol,Hydrolyzed Soy Protein,Polyquaternium-10,Aloe Barbadensis Leaf Juice Powder,Disodium EDTA,Citric Acid,Sorbic Acid]","[Reduces Irritation,Drying,Acne Trigger,Eczema]"
Aveeno,Dermexa Daily Emollient Body Wash,Bath & Body,United States,"[Water,Sodium Trideceth Sulfate,Glycerin,Caprylic/Capric Triglyceride,Sodium Lauroamphoacetate,Avena Sativa Kernel Flour,Laureth-2,Sodium Chloride,Citric Acid,Avena Sativa Kernel Extract,Ceramide 3,Panthenol,Guar Hydroxypropyltrimonium Chloride,Xanthan Gum,Sodium Hydroxide,Phenoxyethanol,Potassium Sorbate,Sodium Benzoate]","[Redness Reducing,Reduces Irritation,Reduces Large Pores,Anti-Aging,Drying,Acne Trigger,Irritating]"
Frudia,Avocado Relief Secret Wash,Bath & Body,,"[Water,Butylene Glycol,Persea Gratissima Fruit Extract,Cocamidopropyl Hydroxysultaine,Coco-Betaine,Caprylyl Glycol,Polyglyceryl-10 Laurate,Sodium Lauroyl Oat Amino Acids,Sodium Cocoyl Apple Amino Acids,Citric Acid,Sodium Citrate,Punica Granatum Fruit Extract,Illicium Verum Fruit Extract,Hexylene Glycol,Caprylic/Capric Triglyceride,Ethylhexylglycerin,Allantoin,Panthenol,Trehalose,Madecassoside,Aesculus Hippocastanum Extract,Glycerin,Centella Asiatica Extract,Camellia Sinensis Leaf Oil,Cinnamomum Camphora Bark Oil,Asiaticoside,Hamamelis Virginiana Leaf Extract,Madecassic Acid,Asiatic Acid,Leucine,Phenylalanine,Methionine,Lysine,Histidine,Isoleucine,Valine,Threonine,Tryptophan,Disodium EDTA,Tetrasodium Glutamate Diacetate,1,2-Hexanediol,Citrus Aurantium Bergamia Fruit Oil,Lavandula Hybrida Oil,Juniperus Virginiana Oil,Cupressus Sempervirens Leaf/Nut/Stem Oil,Citrus Aurantium Dulcis Peel Oil,Citrus Paradisi Peel Oil,Limonene]","[Redness Reducing,Reduces Irritation,Reduces Large Pores,Drying,Irritating]"
Epaderm,Cream,Bath & Body,United Kingdom,"[Paraffin,P-Chloro-M-Cresol,Glycerin,Water]",[May Worsen Oily Skin]
Flamingo,Deep Nourishing Cream,Bath & Body,United States,"[Water,Octyldodecanol,Caprylic/Capric Triglyceride,Helianthus Annuus Seed Oil,Butyrospermum Parkii Butter,Salix Alba Bark Extract,Cetearyl Alcohol,Dimethicone,Sorbitan Stearate,Methylpropanediol,Squalane,Carica Papaya Fruit Extract,Oryza Sativa Bran Extract,Rosmarinus Officinalis Leaf,Tocopherol,Allantoin,Glycerin,Potassium Cetyl Phosphate,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Aminomethyl Propanol,Ethylhexylglycerin,Trisodium Ethylenediamine Disuccinate,Citric Acid,Sodium Benzoate,Chlorphenesin,Phenoxyethanol,Parfum,Limonene,Linalool,Geraniol,Benzyl Alcohol]","[Reduces Large Pores,Anti-Aging,Scar Healing,Brightening,Drying,Acne Trigger,Irritating]"
Gold Bond,Extra Strength Medicated Body Lotion,Bath & Body,United States,"[Menthol 5%,Water,Glycerin,Petrolatum,Aloe Barbadensis Leaf Juice,Cetyl Alcohol,Stearyl Alcohol,Propylene Glycol,Dimethicone,Stearamidopropyl Pg-Dimonium Chloride Phosphate,Distearyldimonium Chloride,Cetearyl Alcohol,Steareth-21,Tocopheryl Acetate,Polysorbate 60,Hydroxyacetophenone,Steareth-2,Parfum,EDTA,Niacinamide,Ascorbic Acid,Potassium Hydroxide,Citric Acid]","[Good For Oily Skin,Redness Reducing,Acne Fighting,Brightening,May Worsen Oily Skin,Acne Trigger,Rosacea]"
Soap Cute California,Watermelon Natural Loofah Exfoliating Soap Bar,Bath & Body,United States,"[Parfum,Mica]",[Eczema]
Cetaphil,Smoothing Relief Exfoliating Body Wash,Bath & Body,United States,"[Water,Cocamidopropyl Betaine,Sodium Lauroyl Isethionate,Hydroxypropyl Starch Phosphate,Sodium Chloride,Lauric Acid,Sodium Lauroyl Glycinate,Glycine Soja Oil,Hydrogenated Soybean Oil,Glycerin,Phenoxyethanol,Helianthus Annuus Seed Wax,Palmitic Acid,Stearic Acid,Salicylic Acid,Benzyl Alcohol,Guar Hydroxypropyltrimonium Chloride,Sodium Benzoate,Tetrasodium EDTA,Butyrospermum Parkii Butter,Citric Acid,Lactic Acid]","[Good For Oily Skin,Reduces Large Pores,Acne Fighting,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema]"
Dionis,Goat Milk Body Lotion with Retinol,Bath & Body,United States,"[Water,Ethylhexyl Palmitate,Cetearyl Alcohol,Glycerin,Hydrogenated Polyisobutene,Stearic Acid,Polysorbate 60,Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Goat Milk,Polyisobutene,Neopentyl Glycol Diheptanoate,Caprylyl Glycol,Isododecane,Caprylic Acid,Cetyl Alcohol,Sodium Benzoate,Xanthan Gum,Retinol,Potassium Sorbate,Caprylyl Caprylate,Sorbitan Oleate]","[Good For Oily Skin,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Scar Healing,Acne Fighting,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating]"
Aveeno,Skin Relief Body Wash,Bath & Body,United States,"[Water,Glycerin,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Sodium Hydrolyzed Potato Starch Dodecenylsuccinate,Avena Sativa Kernel Flour,Citric Acid,Sodium Benzoate,Guar Hydroxypropyltrimonium Chloride,Tetrasodium Glutamate Diacetate,Glycol Distearate,Dipropylene Glycol,Polyquaternium-10,Laureth-4,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Peg-20 Almond Glycerides,Sodium Hydroxide,Coriandrum Sativum Fruit Oil,Avena Sativa Kernel Oil,Elettaria Cardamomum Seed Oil,Commiphora Myrrha Oil,Avena Sativa Kernel Extract]","[Reduces Large Pores,Drying,Irritating]"
Womaness,Daily V Soothe - Daily Vaginal Moisturizer,Bath & Body,United States,"[Water,Glycerin,Propylene Glycol,Hydroxyethylcellulose,Hyaluronic Acid,Sodium Benzoate,Glycolic Acid]","[Good For Oily Skin,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Scar Healing,Brightening,Drying,Irritating,Rosacea]"
Gillette,2 in 1 ProGlide Shave Gel,Bath & Body,United States,"[Water,Palmitic Acid,Triethanolamine,Isopentane,Glyceryl Oleate,Stearic Acid,Glycerin,Parfum,Isobutane,Sorbitol,Hydroxyethylcellulose,Peg-90m,Menthol,BHA,Peg-23m,Propylene Glycol,Glyceryl Acrylate/Acrylic Acid Copolymer,Pvm/Ma Copolymer,Camellia Sinensis Leaf Extract,Blue 1 Lake]","[Hydrating,May Worsen Oily Skin,Rosacea]"
Glossier,Body Hero Exfoliating Bar,Bath & Body,United States,"[Sodium Rapeseedate,Water,Sodium Cocoate,Cellulose Acetate,Glycerin,Helianthus Annuus Seed Oil,Parfum,Bambusa Arundinacea Stem Extract,Aloe Barbadensis Leaf Juice,Sodium Citrate,Maltodextrin,Ci 77891,Ci 77491,Linalool,Geraniol,Limonene,Citronellol]",[Drying]
LUSH,Buffy,Bath & Body,United Kingdom,"[Theobroma Cacao Seed Butter,Butyrospermum Parkii Butter,Lavandula Angustifolia Oil,Citrus Limon Peel Oil,Citral,Limonene,Linalool]",[Acne Trigger]
Billie,Whipped Shave Cream - Fresh-Squeezed Grapefruit,Bath & Body,United States,"[Water,Myristic Acid,Glycerin,Stearic Acid,Potassium Hydroxide,Cocos Nucifera Oil,Olea Europaea Fruit Oil,Aloe Barbadensis Leaf Juice,Butyrospermum Parkii Butter,Citrus Paradisi Peel Oil,Salvia Officinalis Leaf Extract,Tocopherol,Allantoin,Hydrastis Canadensis Extract,Hydroxyethylcellulose,Tetrasodium Glutamate Diacetate,Citrus Aurantium Dulcis Flower Extract,Glyceryl Caprylate,Caprylhydroxamic Acid]","[Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating]"
Truly,Coco Cloud After Shave Moisturizer,Bath & Body,United States,"[Butyrospermum Parkii Butter,Mangifera Indica Seed Butter,Sorbitol,Petroleum Distillates,Maranta Arundinacea Root Extract,Stearic Acid,Myristic Acid,Disodium Lauroamphodiacetate,Leuconostoc Ferment Filtrate,Tocopherol,Phenoxyethanol,Tetrasodium Glutamate Diacetate,Camellia Sinensis Extract,Vanilla Planifolia Fruit Extract,Argania Spinosa Kernel Oil,Hydrogenated Coconut Oil,Parfum]","[Hydrating,Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating]"
Zitsticka,Fizz Fountain AHA/BHA Body Exfoliator,Bath & Body,United States,"[Water,Sodium C14-16 Olefin Sulfonate,Pumice,Glycerin,Niacinamide,Propanediol,Xanthan Gum,Lactic Acid,Glycolic Acid,Ceramide AP,1,2-Hexanediol,Benzyl Alcohol,Ethylhexylglycerin,Mentha Piperita Oil,Bambusa Arundinacea Stem Extract,Salicylic Acid,Quartz,Sodium Gluconate,Sodium Hydroxide,Tocopheryl Acetate]","[Good For Oily Skin,Redness Reducing,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Acne Fighting,Brightening,Drying,Irritating,Rosacea,Eczema]"
CeraVe,Healing Ointment (Old Formulation),Bath & Body,Canada,"[Paraffinum Liquidum,Paraffin,Ozokerite,Dimethicone,Hyaluronic Acid,Sodium Hydroxide,Ceramide 1,Ceramide 3,Ceramide AP,Tocopheryl Acetate,Phytosphingosine,Cholesterol,Sodium Lauroyl Lactylate,Carbomer,Panthenol,Water,Proline,Xanthan Gum]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Skin Texture,Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Irritating]"
Ceramedx,Restoring Body Lotion,Bath & Body,United States,"[Water,Carthamus Tinctorius Seed Oil,Glyceryl Stearate Se,Cetearyl Alcohol,Helianthus Annuus Seed Oil,Glycerin,Cetearyl Olivate,Butyrospermum Parkii Butter,Sorbitan Olivate,Dimethicone,Ceramide NP,Lecithin,Phospholipids,Glycine Soja Sterols,Cannabis Sativa Seed Oil,Rosa Canina Fruit Oil,Sodium Hyaluronate,Tocopherol,Laminaria Ochroleuca Extract,Aloe Barbadensis Leaf Juice,Panthenol,Allantoin,Hydrolyzed Soy Protein,Ulva Lactuca Extract,Ascorbic Acid,Glyceryl Caprylate,Potassium Cetyl Phosphate,Glyceryl Undecylenate,Sorbitol,Citric Acid,Xanthan Gum,Ethylhexylglycerin,Phenoxyethanol]","[Hydrating,Redness Reducing,Reduces Irritation,Skin Texture,Anti-Aging,Dark Spots,Scar Healing,Brightening,Acne Trigger,Irritating]"
Lubriderm,"Men's 3-in-1 Lotion Body, Face, and Post-Shave Lotion Light Fragrance",Bath & Body,,"[Water,Paraffinum Liquidum,Glycerin,Caprylic/Capric Triglyceride,Stearic Acid,Cetyl Alcohol,Cetearyl Alcohol,Dimethicone,Petrolatum,Ethylhexylglycerin,Carbomer,Ceteareth-20,Dmdm Hydantoin,Parfum,Sodium Hydroxide,Sodium Citrate,Panthenol,Tocopheryl Acetate,Potassium Lactate,Citric Acid,Propylene Glycol,Aloe Barbadensis Leaf Extract,Magnesium Aspartate,Zinc Gluconate,Copper Gluconate,Titanium Dioxide]","[Reduces Irritation,Reduces Large Pores,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Eczema]"
Meow Meow Tweet,Hand + Body Wash Lavender Sweet Orange,Bath & Body,United States,"[Water,Cocos Nucifera Oil,Helianthus Annuus Seed Oil,Ricinus Communis Seed Oil,Citric Acid,Potassium Hydroxide,Glycerin,Rosmarinus Officinalis Leaf Extract,Lavandula Angustifolia Oil,Citrus Sinensis Peel Oil Expressed,Aloe Barbadensis Leaf,Cyamopsis Tetragonoloba Gum]","[Reduces Large Pores,Drying,Acne Trigger,Irritating]"
fur,All Body Wash,Bath & Body,United States,"[Laureth-4,Mipa-Laureth Sulfate,Propylene Glycol,Prunus Amygdalus Dulcis Oil,Ricinus Communis Seed Oil,Caprylic/Capric Triglyceride,Prunus Armeniaca Kernel Oil,Tocopheryl Acetate,Laureth-3,Glycerin,Lactic Acid,Lavandula Angustifolia Oil,Salvia Sclarea Oil,Linalool,Limonene,Geraniol]","[Reduces Large Pores,Anti-Aging,Brightening,Drying,Irritating,Rosacea,Eczema]"
Bliss,Naked Body Butter Fragrance-Free,Bath & Body,United States,"[Water,Isopropyl Myristate,Stearic Acid,Dimethicone,Butyrospermum Parkii Butter,Cetyl Alcohol,Trimethylolpropane Triisostearate,Cocos Nucifera Oil,Glycine Soja Oil,Laminaria Digitata Extract,Ammonium Acryloyldimethyltaurate Crosspolymer]","[May Worsen Oily Skin,Acne Trigger]"
Kopari,KP Body Bumps Be Gone with 10% AHA Clarifying Body Scrub,Bath & Body,United States,"[Water,Pumice,Glycerin,Lactic Acid,Glycolic Acid,Caprylic/Capric Triglyceride,Hydroxypropyl Starch Phosphate,Stearic Acid,Decyl Glucoside,Cetearyl Alcohol,Sorbitan Oleate Decylglucoside Crosspolymer,Sodium Lauroyl Sarcosinate,Sodium Hydroxide,Hydroxyethylcellulose,Lauryl Glucoside,Phenoxyethanol,Sodium Benzoate,Glyceryl Stearate,Potassium Sorbate,Sorbitol,Sodium Methyl Cocoyl Taurate,Avena Sativa Kernel Extract,Sodium Stearoyl Lactylate,Cocos Nucifera Shell Powder,Simmondsia Chinensis Seed Oil,Volcanic Sand,Lactobacillus Ferment,Salix Nigra Bark Extract,Glycyrrhiza Glabra Root Extract,Camellia Sinensis Leaf Extract]","[Hydrating,Good For Oily Skin,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema]"
QV,Ceramides Lotion,Bath & Body,Australia,"[Water,Petrolatum,Glycerin,C12-15 Alkyl Benzoate,Cetearyl Alcohol,Dimethicone,Steareth-2,Ceteareth-20,Glyceryl Stearate,Methylparaben,Propylparaben,Polyacrylic Acid,Dichlorobenzyl Alcohol,Triethanolamine,Niacinamide,Sodium Lauroyl Lactylate,Phytosphingosine,Ceramide AP,Ceramide NP,Ceramide EOP,Cholesterol,Xanthan Gum,Carbomer,Ethylhexylglycerin]","[Good For Oily Skin,Redness Reducing,Anti-Aging,Acne Fighting,Brightening,May Worsen Oily Skin,Acne Trigger]"
Mitchum,Women's Triple Odor Defense Antiperspirant & Deodorant Stick - Pure Fresh,Bath & Body,United Kingdom,"[Cyclopentasiloxane,Stearyl Alcohol,C12-15 Alkyl Benzoate,Ppg-14 Butyl Ether,Phenyl Trimethicone,Petrolatum,Hydrogenated Castor Oil,Parfum,Talc,Peg-40 Hydrogenated Castor Oil,Silica,Sodium Starch Octenylsuccinate,Alpha-Isomethyl Ionone,Citral,Citronellol,Coumarin,Geraniol,Hexyl Cinnamal,Hydroxycitronellal,Limonene,Linalool,Aluminum Zirconium Tetrachlorohydrex Gly 20%]","[May Worsen Oily Skin,Eczema]"
